org_name,org_itemid
NO GROWTH,80274
ULOCLADIUM SP.,90491
NEOASCOCHYTA DESMAZIERI,90858
PERONEUTYPA SCOPARIA,90883
EPICOCCUM SPECIES,90665
EMMONSIA SPECIES,90793
SPOROTHRIX SCHENCKII COMPLEX,90796
BIPOLARIS SPECIES,90640
SPOROBOLOMYCES SALMONICOLOR,80103
NOCARDIA TRANSVALENSIS COMPLEX,90797
FRANCISELLA TULARENSIS,90438
STREPTOCOCCUS CONSTELLATUS SSP. CONSTELLATUS,90869
CRYPTOCOCCUS SPECIES,80077
"BETA STREP NOT GROUP A, B OR ANGINOSUS (MILLERI)",90708
STREPTOCOCCUS UBERIS,90360
